0a,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a
5a,5a,2a,5a,9a,0a,3a,0a,4a,1a,9a,7a,3a,8a,1a
2a,3a,10a,8a,6a,3a,5a,4a,3a,0a,5a,7a,11a,31a,0a
11a,5a,1a,8a,7a,6a,9a,2a,4a,1a,4a,11a,9a,23a,0a
4a,3a,15a,12a,3a,2a,4a,3a,2a,1a,3a,13a,10a,28a,1a
5a,6a,6a,14a,2a,1a,8a,1a,4a,0a,3a,8a,6a,11a,0a
1a,6a,12a,1a,4a,6a,4a,1a,0a,1a,13a,13a,11a,21a,0a
7a,1a,12a,13a,15a,5a,4a,3a,3a,0a,0a,10a,0a,32a,0a
7a,2a,5a,13a,12a,0a,2a,0a,4a,1a,12a,6a,12a,10a,0a
15a,6a,0a,6a,1a,4a,10a,5a,0a,1a,9a,2a,13a,23a,0a
11a,1a,15a,5a,7a,1a,0a,0a,4a,0a,4a,4a,2a,33a,1a
14a,4a,12a,14a,14a,5a,9a,4a,3a,1a,8a,11a,2a,18a,1a
4a,5a,12a,15a,6a,1a,2a,5a,1a,1a,12a,7a,13a,35a,1a
15a,5a,7a,14a,1a,0a,2a,3a,3a,0a,14a,9a,15a,16a,0a
13a,0a,11a,5a,1a,3a,1a,5a,0a,0a,14a,13a,11a,15a,0a
8a,6a,0a,10a,9a,3a,13a,0a,1a,1a,1a,7a,7a,14a,0a
3a,1a,9a,6a,6a,1a,8a,1a,3a,1a,11a,11a,12a,30a,1a
2a,3a,12a,10a,11a,6a,3a,4a,0a,0a,5a,2a,10a,5a,0a
15a,1a,3a,3a,12a,1a,12a,4a,4a,1a,15a,10a,11a,2a,0a
3a,6a,10a,15a,4a,0a,11a,4a,0a,0a,4a,11a,14a,39a,1a
4a,1a,6a,8a,2a,5a,7a,4a,2a,1a,1a,6a,4a,2a,0a
2a,6a,2a,13a,3a,6a,0a,5a,2a,0a,3a,4a,6a,5a,0a
5a,5a,12a,15a,2a,3a,9a,2a,2a,1a,1a,13a,9a,6a,1a
5a,4a,6a,5a,15a,1a,2a,4a,0a,0a,11a,7a,13a,33a,1a
13a,4a,10a,6a,2a,2a,0a,5a,3a,0a,10a,9a,15a,21a,1a
3a,0a,13a,0a,8a,2a,1a,4a,2a,1a,10a,7a,10a,40a,0a
3a,1a,8a,12a,11a,6a,11a,1a,1a,0a,5a,5a,6a,30a,0a
0a,1a,8a,1a,2a,1a,7a,2a,3a,1a,0a,2a,4a,13a,1a
9a,0a,1a,11a,11a,2a,13a,0a,0a,0a,8a,2a,0a,2a,0a
11a,5a,3a,3a,0a,2a,1a,1a,1a,0a,5a,4a,12a,20a,0a
15a,2a,9a,9a,0a,4a,7a,4a,3a,1a,4a,7a,13a,15a,1a
15a,6a,5a,6a,9a,0a,5a,2a,1a,1a,10a,11a,13a,39a,1a
9a,0a,1a,10a,10a,3a,13a,4a,4a,1a,9a,3a,6a,9a,0a
13a,6a,4a,13a,12a,5a,0a,4a,0a,0a,14a,1a,9a,6a,1a
2a,0a,9a,1a,12a,1a,5a,3a,4a,0a,11a,6a,5a,25a,0a
9a,4a,1a,2a,11a,4a,11a,2a,0a,0a,0a,1a,5a,21a,0a
7a,5a,8a,13a,9a,5a,11a,0a,4a,0a,7a,8a,15a,15a,1a
2a,5a,9a,6a,3a,4a,6a,1a,2a,1a,5a,11a,12a,36a,1a
